NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),sensacion termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
1242,21/09/2018 11:02,5,24.9,64,24.7,64,29.89,26.34,0,0,---,17.5,24.7,0,0,0,0,0
1243,21/09/2018 11:05,5,25,56,24.6,55,29.89,26.34,0,0,---,15,24.6,0,0,0,0,0
1244,21/09/2018 11:07,5,24.8,65,24.7,64,29.89,26.34,0,0,---,17.5,24.7,0,0,0,0,0
1245,21/09/2018 11:10,5,25,56,24.7,55,29.89,26.34,0,0,---,15.1,24.7,0,0,0,0,0
1246,21/09/2018 11:12,5,24.8,65,24.7,65,29.89,26.34,0,0,---,17.7,24.7,0,0,0,0,0
1247,21/09/2018 11:15,5,25.1,56,24.7,54,29.88,26.33,0,0,---,14.8,24.7,0,0,0,0,0
1248,21/09/2018 11:17,5,24.8,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1249,21/09/2018 11:20,5,25.1,56,24.8,55,29.88,26.33,0,0,---,15.2,24.8,0,0,0,0,0
1250,21/09/2018 11:22,5,24.8,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1251,21/09/2018 11:25,5,25.1,56,24.9,55,29.89,26.34,0,0,---,15.3,24.9,0,0,0,0,0
1252,21/09/2018 11:27,5,24.8,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1253,21/09/2018 11:30,5,25.1,56,24.9,55,29.88,26.33,0,0,---,15.3,24.9,0,0,0,0,0
1254,21/09/2018 11:32,5,24.8,66,24.7,65,29.87,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1255,21/09/2018 11:35,5,25.1,56,25,54,29.89,26.34,0,0,---,15.1,25,0,0,0,0,0
1256,21/09/2018 11:37,5,24.7,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1257,21/09/2018 11:40,5,25.1,57,25.1,55,29.89,26.34,0,0,---,15.5,25.1,0,0,0,0,0
1258,21/09/2018 11:42,5,24.7,66,24.7,65,29.87,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1259,21/09/2018 11:45,5,25.2,57,25.1,55,29.89,26.34,0,0,---,15.5,25.1,0,0,0,0,0
1260,21/09/2018 11:47,5,24.7,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1261,21/09/2018 11:50,5,25.2,57,25.3,55,29.89,26.34,0,0,---,15.6,25.3,0,0,0,0,0
1262,21/09/2018 11:52,5,24.7,66,24.7,65,29.87,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1263,21/09/2018 11:55,5,25.2,57,25.3,54,29.88,26.33,0,0,---,15.4,25.3,0,0,0,0,0
1264,21/09/2018 11:57,5,24.7,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1265,21/09/2018 12:00,5,25.2,57,25.3,55,29.88,26.33,0,0,---,15.6,25.3,0,0,0,0,0
1266,21/09/2018 12:02,5,24.7,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1267,21/09/2018 12:05,5,25.2,57,25.4,55,29.88,26.33,0,0,---,15.7,25.4,0,0,0,0,0
1268,21/09/2018 12:07,5,24.8,66,24.7,65,29.88,26.33,0,0,---,17.7,24.7,0,0,0,0,0
1269,21/09/2018 12:10,5,25.2,57,25.4,55,29.88,26.33,0,0,---,15.7,25.4,0,0,0,0,0
1270,21/09/2018 12:12,5,24.8,66,24.7,66,29.88,26.33,0,0,---,18,24.7,0,0,0,0,0
1271,21/09/2018 12:15,5,25.2,57,25.5,55,29.88,26.33,0,0,---,15.8,25.5,0,0,0,0,0
1272,21/09/2018 12:17,5,24.8,66,24.7,66,29.88,26.33,0,0,---,18,24.7,0,0,0,0,0
